key,priority,created,status,versions
IGNITE-15315,Major,2021-08-16 10:08:10+00:00,Resolved,2.10
IGNITE-15313,Major,2021-08-16 08:22:00+00:00,Resolved,
IGNITE-15312,Blocker,2021-08-16 04:37:01+00:00,Open,
IGNITE-15311,Major,2021-08-13 20:58:59+00:00,Resolved,
IGNITE-15310,Major,2021-08-13 14:43:57+00:00,Resolved,
IGNITE-15309,Major,2021-08-13 12:57:15+00:00,Resolved,
IGNITE-15308,Major,2021-08-13 10:43:53+00:00,Resolved,
IGNITE-15305,Major,2021-08-13 07:45:53+00:00,Resolved,
IGNITE-15304,Major,2021-08-13 07:30:22+00:00,Resolved,
IGNITE-15303,Blocker,2021-08-13 07:14:34+00:00,Resolved,
IGNITE-15298,Major,2021-08-12 12:35:14+00:00,Resolved,
IGNITE-15297,Major,2021-08-12 12:31:35+00:00,Resolved,3.0.0-alpha2
IGNITE-15296,Major,2021-08-12 12:25:29+00:00,Resolved,3.0.0-alpha2
IGNITE-15294,Blocker,2021-08-12 12:11:28+00:00,Open,
IGNITE-15289,Major,2021-08-11 13:02:49+00:00,Patch Available,
IGNITE-15287,Major,2021-08-11 09:48:13+00:00,Open,
IGNITE-15281,Major,2021-08-10 18:35:46+00:00,Resolved,
IGNITE-15279,Major,2021-08-09 17:53:32+00:00,Open,
IGNITE-15275,Major,2021-08-09 14:56:24+00:00,Resolved,3.0.0-alpha2
IGNITE-15274,Blocker,2021-08-09 11:47:38+00:00,Resolved,2.11
IGNITE-15273,Major,2021-08-09 10:12:37+00:00,Resolved,
IGNITE-15272,Major,2021-08-09 10:09:29+00:00,Resolved,
IGNITE-15271,Major,2021-08-09 09:15:41+00:00,Patch Available,3.0.0-alpha2
IGNITE-15266,Major,2021-08-05 18:27:12+00:00,Resolved,python-0.5.1
IGNITE-15264,Major,2021-08-05 14:34:03+00:00,Resolved,3.0.0-alpha2
IGNITE-15263,Major,2021-08-05 14:08:48+00:00,Resolved,2.10
IGNITE-15260,Blocker,2021-08-05 09:34:20+00:00,Resolved,
IGNITE-15258,Major,2021-08-05 08:06:38+00:00,Open,
IGNITE-15257,Blocker,2021-08-05 07:05:33+00:00,Open,3.0.0-alpha2
IGNITE-15256,Major,2021-08-04 21:28:44+00:00,Resolved,2.10
IGNITE-15252,Major,2021-08-04 16:43:33+00:00,Resolved,
IGNITE-15246,Major,2021-08-04 12:11:02+00:00,Resolved,
IGNITE-15245,Major,2021-08-04 08:36:57+00:00,Open,2.10
IGNITE-15244,Blocker,2021-08-04 07:29:11+00:00,Open,
IGNITE-15242,Major,2021-08-03 21:48:34+00:00,Resolved,
IGNITE-15241,Major,2021-08-03 19:12:43+00:00,Open,2.10
IGNITE-15239,Major,2021-08-03 17:50:05+00:00,In Progress,
IGNITE-15238,Major,2021-08-03 17:46:22+00:00,Resolved,
IGNITE-15237,Major,2021-08-03 16:02:11+00:00,Resolved,3.0.0-alpha3
IGNITE-15232,Minor,2021-08-02 20:44:24+00:00,Resolved,
IGNITE-15222,Major,2021-08-02 11:03:52+00:00,In Progress,
IGNITE-15214,Major,2021-07-30 11:04:53+00:00,Closed,python-0.3.4 python-0.4.0 python-0.5.0 python-0.5.1
IGNITE-15213,Major,2021-07-30 09:26:07+00:00,Resolved,3.0.0-alpha2
