key,priority,created,status,versions
SPARK-36545,Major,2021-08-19 11:25:56+00:00,Resolved,2.4.5
SPARK-36544,Major,2021-08-18 20:53:03+00:00,Resolved,3.1.2
SPARK-36542,Major,2021-08-18 11:41:10+00:00,Resolved,3.1.2
SPARK-36532,Major,2021-08-17 06:24:35+00:00,Resolved,3.0.0 3.1.0 3.2.0 3.3.0
SPARK-36523,Major,2021-08-16 13:45:28+00:00,Resolved,3.2.0
SPARK-36522,Major,2021-08-16 13:33:07+00:00,Resolved,3.2.0
SPARK-36517,Major,2021-08-16 05:55:43+00:00,Open,2.4.2
SPARK-36513,Major,2021-08-14 14:47:01+00:00,Resolved,3.3.0
SPARK-36512,Major,2021-08-14 06:38:19+00:00,Resolved,3.3.0
SPARK-36509,Major,2021-08-13 12:36:43+00:00,Resolved,3.0.1 3.1.1 3.1.2
SPARK-36507,Minor,2021-08-13 05:43:02+00:00,Resolved,3.2.0 3.3.0
SPARK-36501,Major,2021-08-12 19:27:04+00:00,Resolved,3.1.2
SPARK-36500,Major,2021-08-12 18:22:01+00:00,Resolved,2.4.8 3.0.3 3.1.2
SPARK-36494,Major,2021-08-12 10:49:51+00:00,In Progress,3.1.1
SPARK-36493,Major,2021-08-12 10:09:00+00:00,In Progress,3.1.0 3.1.2
SPARK-36489,Major,2021-08-12 07:08:22+00:00,Resolved,3.1.0 3.1.1 3.1.2 3.2.0 3.1.3
SPARK-36488,Major,2021-08-12 06:45:52+00:00,Resolved,2.4.8 3.1.2
SPARK-36483,Major,2021-08-11 20:53:25+00:00,Resolved,3.2.0
SPARK-36480,Critical,2021-08-11 12:52:09+00:00,Resolved,3.2.0
SPARK-36477,Major,2021-08-11 09:25:53+00:00,In Progress,3.1.2
SPARK-36476,Major,2021-08-11 07:26:50+00:00,Open,3.1.2
SPARK-36467,Major,2021-08-10 12:57:19+00:00,Open,2.4.5
SPARK-36466,Major,2021-08-10 06:29:35+00:00,Resolved,3.2.0
SPARK-36464,Major,2021-08-10 05:20:12+00:00,Resolved,2.0.2 2.1.3 2.2.3 2.3.4 2.4.8 3.0.3 3.1.2 3.3.0
SPARK-36463,Blocker,2021-08-10 03:16:48+00:00,Resolved,3.2.0
SPARK-36459,Major,2021-08-09 16:00:03+00:00,Resolved,2.4.4
SPARK-36454,Minor,2021-08-09 01:13:16+00:00,Resolved,3.3.0
SPARK-36449,Major,2021-08-08 05:18:27+00:00,Resolved,3.3.0
SPARK-36448,Major,2021-08-06 20:21:02+00:00,Resolved,3.1.2
SPARK-36447,Blocker,2021-08-06 17:44:49+00:00,Resolved,3.1.2 3.2.0
SPARK-36446,Critical,2021-08-06 16:21:17+00:00,Open,2.4.8 3.1.2
SPARK-36441,Major,2021-08-06 01:29:20+00:00,Resolved,3.3.0
